PA/gchi+	Very
PA/wasi+	Preceding
PA/ewaanji+	Utmost
gbey'iinh	long-term
aabdig	definitely
aabda	constantly
aabdek	definitely
aabiish	location
aabtaweyiing	midway
aabtaweyiing	midway
aabtawna	central
aabtawyi'iing	midway
aabtoogaam	lake-center
aagwiita	extra
aan'kaach	beside
aana	fortunate/useless
aanch	repeat
aandi	where
aandi-sh	where
aanii	how
aaniin	well
aaniish	how
aaniish	why
aaniish	well-being
aanind	some
aanjig	repeat
aano	certain
aanwi	fortunate/manage
aapii	direction
aapiichin	sometimes
aapiish	where
aapin	similar
aapji	very
aapji-ntam	first-time
aapji-shkwaach	last-time
aasmaatik	wallside
aasmagmik	building-wall
aasmidaaki	hillside
aazhgo	now
aazhi	now/then
aazhoogaam	crosswater
aazhoogaami	crosswater
aazhoogmik	house-back
aazhook	to-and-fro
aazhwaakwaa	woods-side
aazhwi'ii	opposite
aazhwi'iing	opposite
aazhwisak	other-room
baabge	swiftly
baabgwaadam	causeless
baamaa	later
baampii	later
baapish	imminent
baataayiing	unreachable
baataayiing	unreachable
bbenak	improve
bebezhik	sequential
bebkaan	varied
bebngii	gradual
bebzhishak	unfilled
begish	desire
bekaa	silent/wait
bekish	desire
bekish	concurrent
besha	near
besho	near
bezhgonong	consistent
bgodkamik	remote
bgodkana	trail-remote
bgoji'iing	wild
bgona	hopeless
bgwaadam	causeless
biindik	indoors
biinish	until
biinji'ii	indoor
biinji'iing	indoor
biitwi'iing	interlayer
biitwi'iing	interlayer
biitwisbak	wall-between
bjiinaago	yesterday
bjiinak	recent
bkaan	alternate
bkekna	roadside
bkwaakninch	handful
bmena	lesser
bngiishenh	bit
bngishmok	westward
booch	still
bwaatmaach	progressive
bzaan	quiet
bzhishik	purely
daagnadaag	truly
dash	next
dbashish	below
dbi	uncertain
dbikoong	yesternight
dbishkoo	similar
dbiyiidok	unsure
debnaak	negligent
dibaakaang	woodland
dibaakiing	woodland
dkamkana	crossroad
dshing	repeatedly
ebngishmak	westward
edwidetek	forehead
egaach	gently
ekizhep	dawn
ekwaakwaak	wood-edge
en'gok	forcefully
endgwenh	doubtful
engaach	gradual
enwek	enough
eshkam	growing
eshkot	initially
eshkwaach	futile
eshkweyiing	endmost
eta	merely
eyedwikna	roadside
eyedwiy'iing	bilateral
eyiidweyiing	bilateral
ezhi-gchi-nikaayin	right-side
ezhi-nmanjnikaayin	left-side
gaa	no
gaa-waabang	tomorrow
gaagnik	eternal
gaamaajwan	riverside
gaamdaaki	opposite-hill
gaaming	crosswater
gaamkana	crossroad
gaamyi'iing	opposite
gaataayiing	encircling
gaataayiing	encircling
gaawaanh	scarcely
gaawtaagmik	surrounding
gaay	no
gamiing	lakeside
gashki	raw
gbe-bboon	winterlong
gbe-dbik	nightlong
gbe-giizhik	daylong
gbe-naagosh	eveninglong
gbe-niibin	summerlong
gbe-shkwaa-naawkwe	afternoonlong
gbe-zhebaa	morninglong
gbey'ii	long-term
gbey'iing	long-term
gchi-ggizhep	pre-dawn
gchi-ngoji	misplaced
gchi-zhaazhi	ancient
gchingim	briefly
ge	additionally
ge	additionally
gechwaa	similarly
gegaa	nearly
geget	definitely
gegeti	definitely
gego	additionally
gegpii	ultimately
geshtine	opportunely
geskana	suddenly
gesnaa	ever
gesnaa	ever
geyaabi	still
ggetin	forceful
ggiibaadaatkamik	absurd
ggizhep	morning
ggwaansagkamik	terrible
ggwetaan'kamik	extremely
ggwetaanyi'iing	beautiful
gidaa	atop
gidaagon	snow-top
gidaagoon	snow-top
gidaajwan	upstream
gidaaki	uphill
gidaatik	log-top
gidbak	roof-top
gidbiik	water-top
gidgamik	building-top
gidkamik	ground
gidsak	floor
giimooch	secretly
giiwaaji-pii	inopportune
giiwednong	northward
giiwenh	allegedly
giiwtaagmik	house-around
giiwtaayiing	encircling
giizhik	daytime
gijiyiing	atop
gijiyiing	atop
gijiyiinh	atop
gijiyiinh	atop
gmaapii	eventually
gmaapiich	maybe
gnabach	perhaps
gnengim	long-lasting
gnesh	perhaps
gnimaa	maybe
gnwesh	perhaps
go	EMPH
gojiing	outside
gojyi'iing	outside
gshkonwaach	unexpected
gtwe	regardless
gtwena	regardless
gwech	commonly
gyak	proper
iidik	seemingly
iidok	supposedly
iizan	pretending
jaagena	eccentric
jejiibaan	scattered
jejna	sporadically
jiigaakwaa	fringe
jiigaatik	adjacent
jiigbiik	coastal
jiigbiing	waterfront
jiiggamik	proximal
jiigiyiing	adjacent
jiigsabak	cornered
jiigshkwaant	doorway
jiigya'ii	beside
jiigya'iing	adjacent
jiigyi'iing	adjacent
jiinaago	yesterday
jina	briefly
kawesh	temporarily
ko	typically
maa	here
maadaa	preemptively
maage	either
maamdaa	capable
maampii	here
maamwi	unitedly
